item,manuscript_location,source_script,source_output,notes
Input table,Table: Numerical inputs,manual bookkeeping,inputs_table.csv; outputs/paper_input_summary_table.csv; outputs/input_citation_map.csv,Tracks numerical inputs and citations.
Residue benchmark table,Table: Pure-current residue benchmark,scripts/stage3_residue_benchmark_checks.py,outputs/stage3_residue_benchmark_checks.csv; outputs/wang_pure_axial_residue_comparison_table.csv,Checks Wang pure-axial benchmark against limiting-current cases.
Main Ds/Bs result table,Table: Final numerical predictions,scripts/stage3_ds1_physical_residue_normalization.py; scripts/stage3_bs1_pz_decay_constants.py,outputs/combined_recommended_results_table.csv,Headline G and width predictions with normalization status.
Experimental comparison table,Table: Experimental comparison,manual summary from BaBar/CMS references,outputs/experimental_comparison_table.csv,Converts theory widths to interpretation against available data.
Charm Monte Carlo width plot,Figure: Monte Carlo width distributions,scripts/lattice_photon_normalization_comparison.py,outputs/lattice_fperp_mc_width_histograms_theta_fixed.pdf,Preferred lattice photon-normalization uncertainty distribution.
Bottom Monte Carlo width plot,Figure: Monte Carlo width distributions,scripts/stage3_bs1_pz_decay_constants.py,outputs/stage3_bs1_pz_width_histograms.pdf,PZ bottom decay-constant scenario uncertainty distribution.
Charm stability plot,Figure: Borel and threshold stability,scripts/stage2_stability_plots.py,outputs/stage2_stability_central.pdf,Representative charm Borel/continuum stability check.
Bottom stability plot,Figure: Borel and threshold stability,scripts/bs1_uncertainty_and_plots.py,outputs/bs1_5830_stability.pdf,Representative bottom Borel/continuum stability check.
Contribution breakdown,Supplementary figure/table,scripts/publication_plots.py,outputs/stage2_contribution_breakdown.pdf; outputs/stage2_contribution_breakdown.csv,Separates axial/tensor and hard/DA pieces.
Validation checks,Supplementary reproducibility,scripts/validation_checks.py; scripts/ward_transversality_check.wl,outputs/validation_checks_summary.txt; outputs/ward_transversality_check.txt,Limiting-case and transversality checks.
Ds1 interference diagnostic,Table: constructive/destructive interference,scripts/ds1_interference_diagnostic.py,outputs/ds1_interference_diagnostic_summary.csv; outputs/ds1_interference_diagnostic_summary.txt,Shows the Bondar-Milstein cancellation mechanism in LCSR variables.
