item,manuscript_location,source_script,source_output,notes
Input table,Table: Numerical inputs,manual bookkeeping,inputs_table.csv; outputs/paper_input_summary_table.csv; outputs/input_citation_map.csv,Tracks numerical inputs and citations.
Residue benchmark table,Table: Pure-current residue benchmark,scripts/stage3_residue_benchmark_checks.py,outputs/stage3_residue_benchmark_checks.csv; outputs/wang_pure_axial_residue_comparison_table.csv,Checks Wang pure-axial benchmark against limiting-current cases.
Main Ds/Bs result table,Table: Final numerical predictions,scripts/stage3_ds1_physical_residue_normalization.py; scripts/stage3_bs1_pz_decay_constants.py,outputs/combined_recommended_results_table.csv,Headline G and width predictions with normalization status.
Final experiment/literature table,Conclusion: consolidated comparison,manual summary from PDG/Bondar and cited theory papers,outputs/experimental_comparison_table.csv; outputs/bondar_literature_comparison_table.csv,Compares the preferred widths with current measured information and representative theory.
Charm Monte Carlo width plot,Figure: Monte Carlo width distributions,scripts/lattice_photon_normalization_comparison.py,outputs/lattice_fperp_mc_width_histograms_theta_fixed.pdf,Preferred lattice photon-normalization uncertainty distribution.
Bottom Monte Carlo width plot,Figure: Monte Carlo width distributions,scripts/stage3_bs1_pz_decay_constants.py,outputs/stage3_bs1_pz_width_histograms.pdf,PZ bottom decay-constant scenario uncertainty distribution.
Final-angle stability plot,Figure: final-angle transition-LCSR stability,scripts/final_angle_stability_plots.py,outputs/final_angle_stability.csv; outputs/final_angle_stability.pdf,Uses theta_Ds=26.6+-0.6 deg and theta_Bs=38.5+-0.1 deg from arXiv:2408.08014 without refitting.
Contribution breakdown,Supplementary figure/table,scripts/publication_plots.py,outputs/stage2_contribution_breakdown.pdf; outputs/stage2_contribution_breakdown.csv,Separates axial/tensor and hard/DA pieces.
Validation checks,Supplementary reproducibility,scripts/validation_checks.py; scripts/ward_transversality_check.wl,outputs/validation_checks_summary.txt; outputs/ward_transversality_check.txt,Limiting-case and transversality checks.
Ds1 interference diagnostic,Table: constructive/destructive interference,scripts/ds1_interference_diagnostic.py,outputs/ds1_interference_diagnostic_summary.csv; outputs/ds1_interference_diagnostic_summary.txt,Shows the Bondar-Milstein cancellation mechanism in LCSR variables.
